Name,Abbreviation,ColorCode
Civic People's Party,CPP,#007bff
Social Progress Union,SPU,#dc3545
Green Future Alliance,GFA,#28a745
Liberal Democrats,LDP,#ffc107
Conservative Center,CC,#6f42c1
Workers Solidarity,WS,#fd7e14
Christian Social Movement,CSM,#20c997
Free Voters Association,FVA,#17a2b8
National Renewal,NR,#6c757d
Progressive Alternative,PA,#e83e8c
Ecological List,EL,#218838
Alliance for Justice,AfJ,#c82333
Economic Party,EP,#f0ad4e
Homeland Connected,HC,#5a6268
Digital Future,DF,#0056b3
Social Democratic Force,SDF,#bd2130
Civil Rights Party,CRP,#1e7e34
Federal Union,FU,#e0a800
Cultural Diversity,CD,#5a32a3
Reform Movement,RM,#e67300
